discussion_size
contributors
core_developers
newbies
mean_number_of_words
mean_time_between_comments
last_and_close
open_and_first
newcomers_size
team_size
users_left_size
density_design_keywords
number_design_keywords
number_refactoring_keywords
number_females
number_males
