discussion_duration
contributors
newbies
mean_number_of_words
mean_time_between_comments
number_of_words
open_and_first
density_design_keywords
density_refactoring_keywords
number_design_keywords
number_refactoring_keywords
discussion_size
newcomers_size
team_size
number_females
number_males
