project,type,model,test_precision,test_recall,test_f1,test_accuracy
Netflix-zuul,design,DecisionTreeModel,0.75,0.55,0.6,0.65
Netflix-zuul,design,GaussianNaiveBayesModel,0.45,0.25,0.32,0.57
Netflix-zuul,design,GradientBoostingRegressorModel,0.37,0.45,0.37,0.42
Netflix-zuul,design,LinearSVMModel,0.3,0.25,0.25,0.53
Netflix-zuul,design,LogisticRegressionModel,0.37,0.3,0.31,0.53
Netflix-zuul,design,RandomForestModel,0.52,0.5,0.46,0.56
Netflix-zuul,implementation,DecisionTreeModel,0.57,0.55,0.53,0.62
Netflix-zuul,implementation,GaussianNaiveBayesModel,0.45,0.3,0.35,0.55
Netflix-zuul,implementation,GradientBoostingRegressorModel,0.53,0.55,0.51,0.62
Netflix-zuul,implementation,LinearSVMModel,0.45,0.3,0.35,0.55
Netflix-zuul,implementation,LogisticRegressionModel,0.52,0.45,0.46,0.6
Netflix-zuul,implementation,RandomForestModel,0.62,0.65,0.6,0.68
Spring-boot,design,DecisionTreeModel,0.44,0.45,0.43,0.47
Spring-boot,design,GaussianNaiveBayesModel,0.4,0.19,0.23,0.52
Spring-boot,design,GradientBoostingRegressorModel,0.42,0.48,0.43,0.46
Spring-boot,design,LinearSVMModel,0.33,0.12,0.17,0.51
Spring-boot,design,LogisticRegressionModel,0.55,0.34,0.38,0.49
Spring-boot,design,RandomForestModel,0.48,0.28,0.32,0.49
Spring-boot,implementation,DecisionTreeModel,0.64,0.55,0.56,0.61
Spring-boot,implementation,GaussianNaiveBayesModel,0.43,0.14,0.21,0.54
Spring-boot,implementation,GradientBoostingRegressorModel,0.61,0.58,0.58,0.62
Spring-boot,implementation,LinearSVMModel,0.6,0.34,0.42,0.61
Spring-boot,implementation,LogisticRegressionModel,0.63,0.47,0.52,0.61
Spring-boot,implementation,RandomForestModel,0.64,0.49,0.54,0.6
Spring-security,design,DecisionTreeModel,0.54,0.46,0.49,0.53
Spring-security,design,GaussianNaiveBayesModel,0.53,0.09,0.14,0.52
Spring-security,design,GradientBoostingRegressorModel,0.58,0.59,0.58,0.58
Spring-security,design,LinearSVMModel,0.57,0.52,0.54,0.56
Spring-security,design,LogisticRegressionModel,0.57,0.59,0.58,0.57
Spring-security,design,RandomForestModel,0.61,0.64,0.62,0.61
Spring-security,implementation,DecisionTreeModel,0.59,0.61,0.59,0.59
Spring-security,implementation,GaussianNaiveBayesModel,0.51,0.59,0.53,0.52
Spring-security,implementation,GradientBoostingRegressorModel,0.56,0.57,0.56,0.56
Spring-security,implementation,LinearSVMModel,0.54,0.41,0.46,0.52
Spring-security,implementation,LogisticRegressionModel,0.55,0.49,0.52,0.54
Spring-security,implementation,RandomForestModel,0.66,0.59,0.61,0.63
