discussion_duration
discussion_size
contributors
core_developers
mean_number_of_words
number_of_words
last_and_close
open_and_first
team_size
users_left_size
density_design_keywords
density_refactoring_keywords
number_design_keywords
number_refactoring_keywords
number_males
