project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.62,0.5,0.55,0.59
All,design,GradientBoostingRegressorModel,0.65,0.58,0.61,0.63
All,design,LinearSVMModel,0.67,0.44,0.53,0.61
All,design,RandomForestModel,0.63,0.6,0.61,0.62
All,implementation,DecisionTreeModel,0.67,0.73,0.7,0.68
All,implementation,GradientBoostingRegressorModel,0.69,0.73,0.71,0.7
All,implementation,LinearSVMModel,0.68,0.55,0.6,0.64
All,implementation,RandomForestModel,0.67,0.7,0.69,0.68
