config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
702096,CSV,Spring-security,implementation,RandomForestModel,0.61,0.60,0.60,0.60,146,93,96,143,0.60
702096,CSV,Spring-security,implementation,DecisionTreeModel,0.62,0.49,0.59,0.54,165,74,121,118,0.59
702096,CSV,Spring-security,implementation,LogisticRegressionModel,0.55,0.53,0.55,0.54,134,105,112,127,0.55
702096,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.48,0.57,0.52,0.51,112,127,102,137,0.52
702096,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.59,0.50,0.57,0.53,153,86,120,119,0.57
702096,CSV,Spring-security,design,LinearSVMModel,0.57,0.52,0.56,0.54,119,79,95,103,0.56
702096,CSV,Spring-security,design,RandomForestModel,0.60,0.56,0.58,0.56,117,81,87,111,0.58
702096,CSV,Spring-security,design,DecisionTreeModel,0.60,0.48,0.57,0.52,130,68,103,95,0.57
702096,CSV,Spring-security,design,LogisticRegressionModel,0.56,0.56,0.56,0.55,111,87,88,110,0.56
702096,CSV,Spring-security,design,GaussianNaiveBayesModel,0.72,0.09,0.52,0.15,190,8,181,17,0.52
702096,CSV,Spring-security,design,GradientBoostingRegressorModel,0.58,0.48,0.56,0.52,126,72,103,95,0.56
702096,CSV,Netflix-zuul,implementation,LinearSVMModel,0.35,0.25,0.60,0.28,19,1,15,5,0.60
702096,CSV,Netflix-zuul,implementation,RandomForestModel,0.60,0.45,0.62,0.50,16,4,11,9,0.62
702096,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.68,0.65,0.68,0.64,14,6,7,13,0.68
702096,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.55,0.45,0.65,0.48,17,3,11,9,0.65
702096,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.38,0.25,0.55,0.29,17,3,15,5,0.55
702096,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.82,0.60,0.70,0.66,16,4,8,12,0.70
702096,CSV,Netflix-zuul,design,LinearSVMModel,0.25,0.15,0.51,0.18,14,3,14,3,0.50
702096,CSV,Netflix-zuul,design,RandomForestModel,0.47,0.55,0.57,0.48,11,6,8,9,0.60
702096,CSV,Netflix-zuul,design,DecisionTreeModel,0.28,0.30,0.55,0.27,13,4,12,5,0.55
702096,CSV,Netflix-zuul,design,LogisticRegressionModel,0.27,0.35,0.50,0.30,11,6,11,6,0.50
702096,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.40,0.35,0.60,0.37,15,2,12,5,0.62
702096,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.38,0.40,0.42,0.37,8,9,11,6,0.42
702096,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.78,0.47,0.66,0.57,65,12,41,36,0.66
702096,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.77,0.57,0.68,0.64,61,16,33,44,0.68
702096,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.73,0.59,0.66,0.63,57,20,32,45,0.67
702096,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.77,0.56,0.68,0.62,62,15,34,43,0.68
702096,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.73,0.26,0.59,0.38,71,6,57,20,0.59
702096,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.77,0.54,0.66,0.61,61,16,36,41,0.66
702096,CSV,Netflix-Hystrix,design,LinearSVMModel,0.75,0.56,0.64,0.60,50,19,30,39,0.64
702096,CSV,Netflix-Hystrix,design,RandomForestModel,0.79,0.65,0.74,0.70,57,12,24,45,0.74
702096,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.80,0.58,0.72,0.67,59,10,29,40,0.72
702096,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.78,0.59,0.70,0.65,55,14,28,41,0.69
702096,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.82,0.32,0.64,0.44,66,3,47,22,0.64
702096,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.71,0.56,0.65,0.62,51,18,30,39,0.65
702096,CSV,Netflix-conductor,implementation,LinearSVMModel,0.69,0.26,0.57,0.37,197,24,164,57,0.57
702096,CSV,Netflix-conductor,implementation,RandomForestModel,0.61,0.37,0.56,0.44,166,55,140,81,0.56
702096,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.66,0.35,0.58,0.46,180,41,143,78,0.58
702096,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.65,0.35,0.58,0.45,180,41,143,78,0.58
702096,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.72,0.26,0.57,0.38,197,24,164,57,0.57
702096,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.64,0.35,0.58,0.45,180,41,143,78,0.58
702096,CSV,Netflix-conductor,design,LinearSVMModel,0.73,0.31,0.59,0.41,111,17,89,39,0.59
702096,CSV,Netflix-conductor,design,RandomForestModel,0.60,0.60,0.59,0.58,76,52,52,76,0.59
702096,CSV,Netflix-conductor,design,DecisionTreeModel,0.64,0.50,0.61,0.56,93,35,64,64,0.61
702096,CSV,Netflix-conductor,design,LogisticRegressionModel,0.67,0.43,0.61,0.52,100,28,73,55,0.61
702096,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.70,0.28,0.59,0.38,115,13,93,35,0.59
702096,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.59,0.53,0.58,0.55,82,46,61,67,0.58
702096,CSV,Netflix-eureka,implementation,LinearSVMModel,0.63,0.23,0.56,0.33,55,7,47,15,0.56
702096,CSV,Netflix-eureka,implementation,RandomForestModel,0.75,0.60,0.69,0.65,49,13,25,37,0.70
702096,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.79,0.59,0.72,0.66,52,10,25,37,0.72
702096,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.76,0.45,0.65,0.55,52,10,34,28,0.65
702096,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.77,0.34,0.63,0.46,57,5,41,21,0.63
702096,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.73,0.57,0.66,0.61,47,15,27,35,0.66
702096,CSV,Netflix-eureka,design,LinearSVMModel,0.68,0.65,0.63,0.61,27,17,16,28,0.64
702096,CSV,Netflix-eureka,design,RandomForestModel,0.75,0.73,0.74,0.74,33,11,12,32,0.74
702096,CSV,Netflix-eureka,design,DecisionTreeModel,0.63,0.66,0.64,0.63,27,17,14,30,0.64
702096,CSV,Netflix-eureka,design,LogisticRegressionModel,0.67,0.72,0.67,0.67,27,17,12,32,0.67
702096,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.68,0.30,0.61,0.39,41,3,31,13,0.61
702096,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.74,0.69,0.72,0.69,33,11,14,30,0.72

