config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
220069,CSV,Netflix-Hystrix,design,RandomForestModel,0.95,0.32,0.64,0.45,67,2,47,22,0.65
220069,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.85,0.29,0.63,0.41,67,2,49,20,0.63
220069,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.83,0.32,0.64,0.46,67,2,47,22,0.64
220069,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.87,0.31,0.65,0.44,68,1,48,21,0.65
220069,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.82,0.29,0.63,0.41,67,2,49,20,0.63
220069,CSV,Netflix-conductor,implementation,LinearSVMModel,0.66,0.34,0.57,0.44,177,44,146,75,0.57
220069,CSV,Netflix-conductor,implementation,RandomForestModel,0.65,0.47,0.61,0.54,165,56,118,103,0.61
220069,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.67,0.47,0.62,0.55,168,53,117,104,0.62
220069,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.60,0.43,0.57,0.50,155,66,125,96,0.57
220069,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.75,0.30,0.59,0.42,197,24,155,66,0.59
220069,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.64,0.44,0.60,0.52,167,54,123,98,0.60
220069,CSV,Netflix-conductor,design,LinearSVMModel,0.64,0.38,0.58,0.47,100,28,80,48,0.58
220069,CSV,Netflix-conductor,design,RandomForestModel,0.54,0.48,0.54,0.51,75,53,66,62,0.54
220069,CSV,Netflix-conductor,design,DecisionTreeModel,0.54,0.47,0.53,0.49,76,52,68,60,0.53
220069,CSV,Netflix-conductor,design,LogisticRegressionModel,0.58,0.53,0.57,0.54,78,50,61,67,0.57
220069,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.66,0.32,0.58,0.42,107,21,87,41,0.58
220069,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.53,0.48,0.53,0.50,74,54,67,61,0.53
220069,CSV,Netflix-eureka,implementation,LinearSVMModel,0.80,0.26,0.59,0.38,57,5,46,16,0.59
220069,CSV,Netflix-eureka,implementation,RandomForestModel,0.62,0.44,0.55,0.49,42,20,35,27,0.56
220069,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.56,0.29,0.52,0.34,46,16,44,18,0.52
220069,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.54,0.33,0.53,0.39,46,16,42,20,0.53
220069,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.58,0.29,0.57,0.38,53,9,44,18,0.57
220069,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.58,0.37,0.52,0.41,41,21,39,23,0.52
220069,CSV,Netflix-eureka,design,LinearSVMModel,0.72,0.37,0.63,0.46,39,5,28,16,0.63
220069,CSV,Netflix-eureka,design,RandomForestModel,0.74,0.69,0.71,0.70,33,11,14,30,0.72
220069,CSV,Netflix-eureka,design,DecisionTreeModel,0.77,0.68,0.72,0.70,33,11,14,30,0.72
220069,CSV,Netflix-eureka,design,LogisticRegressionModel,0.66,0.42,0.59,0.48,33,11,25,19,0.59
