project,type,model,test_precision,test_recall,test_f1,test_accuracy
Netflix,design,DecisionTreeModel,0.63,0.45,0.52,0.6
Netflix,design,GradientBoostingRegressorModel,0.6,0.59,0.59,0.59
Netflix,design,LinearSVMModel,0.67,0.36,0.47,0.59
Netflix,design,RandomForestModel,0.61,0.56,0.58,0.6
Netflix,implementation,DecisionTreeModel,0.68,0.61,0.64,0.65
Netflix,implementation,GradientBoostingRegressorModel,0.67,0.64,0.65,0.66
Netflix,implementation,LinearSVMModel,0.68,0.44,0.53,0.62
Netflix,implementation,RandomForestModel,0.67,0.66,0.66,0.67
