config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
887291,CSV,Spring-security,implementation,RandomForestModel,0.63,0.38,0.58,0.47,184,55,148,91,0.58
887291,CSV,Spring-security,implementation,DecisionTreeModel,0.55,0.41,0.53,0.44,157,82,141,98,0.53
887291,CSV,Spring-security,implementation,LogisticRegressionModel,0.52,0.59,0.51,0.55,105,134,99,140,0.51
887291,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.56,0.36,0.54,0.41,170,69,153,86,0.53
887291,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.55,0.34,0.53,0.42,171,68,157,82,0.53
887291,CSV,Spring-security,design,LinearSVMModel,0.61,0.28,0.56,0.38,164,34,142,56,0.56
887291,CSV,Spring-security,design,RandomForestModel,0.59,0.44,0.57,0.50,137,61,111,87,0.56
887291,CSV,Spring-security,design,DecisionTreeModel,0.68,0.43,0.61,0.52,154,44,112,86,0.61
887291,CSV,Spring-security,design,LogisticRegressionModel,0.59,0.33,0.55,0.42,153,45,132,66,0.55
887291,CSV,Spring-security,design,GaussianNaiveBayesModel,0.63,0.27,0.56,0.37,167,31,144,54,0.56
887291,CSV,Spring-security,design,GradientBoostingRegressorModel,0.63,0.40,0.58,0.48,148,50,118,80,0.58
887291,CSV,Netflix-zuul,implementation,LinearSVMModel,0.63,0.45,0.55,0.51,13,7,11,9,0.55
887291,CSV,Netflix-zuul,implementation,RandomForestModel,0.45,0.45,0.47,0.42,10,10,11,9,0.47
887291,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.38,0.60,0.60,0.47,12,8,8,12,0.60
887291,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.67,0.60,0.68,0.61,15,5,8,12,0.68
887291,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.43,0.30,0.53,0.34,15,5,14,6,0.53
887291,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.45,0.45,0.50,0.44,11,9,11,9,0.50
887291,CSV,Netflix-zuul,design,LinearSVMModel,0.40,0.45,0.45,0.40,8,9,10,7,0.45
887291,CSV,Netflix-zuul,design,RandomForestModel,0.57,0.60,0.57,0.56,10,7,8,9,0.57
887291,CSV,Netflix-zuul,design,DecisionTreeModel,0.65,0.70,0.70,0.67,13,4,6,11,0.70
887291,CSV,Netflix-zuul,design,LogisticRegressionModel,0.20,0.30,0.42,0.24,9,8,12,5,0.42
887291,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.53,0.95,0.50,0.64,1,16,1,16,0.53
887291,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.48,0.55,0.56,0.51,9,8,7,10,0.53
887291,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.63,0.33,0.59,0.42,66,11,52,25,0.59
887291,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.63,0.51,0.60,0.55,54,23,38,39,0.60
887291,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.78,0.44,0.66,0.56,68,9,43,34,0.66
