config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
948809,CSV,Spring-security,implementation,RandomForestModel,0.58,0.61,0.58,0.59,134,105,94,145,0.58
948809,CSV,Spring-security,implementation,DecisionTreeModel,0.55,0.47,0.54,0.50,146,93,128,111,0.54
948809,CSV,Spring-security,implementation,LogisticRegressionModel,0.59,0.53,0.58,0.55,149,90,113,126,0.58
948809,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.55,0.63,0.56,0.57,119,120,89,150,0.56
948809,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.61,0.59,0.60,0.59,149,90,99,140,0.60
948809,CSV,Spring-security,design,LinearSVMModel,0.66,0.40,0.60,0.49,156,42,118,80,0.60
948809,CSV,Spring-security,design,RandomForestModel,0.60,0.60,0.60,0.60,119,79,78,120,0.60
948809,CSV,Spring-security,design,DecisionTreeModel,0.61,0.45,0.59,0.51,142,56,108,90,0.59
948809,CSV,Spring-security,design,LogisticRegressionModel,0.59,0.47,0.57,0.51,133,65,105,93,0.57
948809,CSV,Spring-security,design,GaussianNaiveBayesModel,0.67,0.41,0.60,0.50,155,43,116,82,0.60
948809,CSV,Spring-security,design,GradientBoostingRegressorModel,0.62,0.58,0.60,0.59,124,74,84,114,0.60
948809,CSV,Netflix-zuul,implementation,LinearSVMModel,0.72,0.50,0.68,0.56,17,3,10,10,0.68
948809,CSV,Netflix-zuul,implementation,RandomForestModel,0.68,0.65,0.68,0.64,14,6,7,13,0.68
948809,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.63,0.50,0.65,0.53,16,4,10,10,0.65
948809,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.73,0.65,0.68,0.66,14,6,7,13,0.68
948809,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.48,0.45,0.62,0.44,16,4,11,9,0.62
948809,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.40,0.40,0.53,0.37,13,7,12,8,0.53
948809,CSV,Netflix-zuul,design,LinearSVMModel,0.58,0.75,0.63,0.63,10,7,5,12,0.65
948809,CSV,Netflix-zuul,design,RandomForestModel,0.70,0.70,0.73,0.69,13,4,5,12,0.72
948809,CSV,Netflix-zuul,design,DecisionTreeModel,0.43,0.45,0.48,0.41,8,9,8,9,0.45
948809,CSV,Netflix-zuul,design,LogisticRegressionModel,0.47,0.55,0.59,0.48,11,6,8,9,0.62
948809,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.40,0.45,0.52,0.40,11,6,10,7,0.55
948809,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.63,0.65,0.69,0.61,13,4,6,11,0.68
948809,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.69,0.45,0.61,0.53,59,18,42,35,0.60
948809,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.71,0.65,0.67,0.67,54,23,27,50,0.68
948809,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.64,0.56,0.62,0.59,53,24,34,43,0.62
948809,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.72,0.53,0.65,0.59,60,17,36,41,0.66
948809,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.80,0.26,0.60,0.38,72,5,57,20,0.60
948809,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.66,0.59,0.64,0.62,53,24,31,46,0.64
948809,CSV,Netflix-Hystrix,design,LinearSVMModel,0.95,0.32,0.65,0.46,68,1,47,22,0.65
948809,CSV,Netflix-Hystrix,design,RandomForestModel,0.84,0.40,0.67,0.53,64,5,41,28,0.67
948809,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.88,0.39,0.66,0.53,64,5,42,27,0.66
948809,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.89,0.41,0.67,0.53,64,5,41,28,0.67
948809,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.86,0.33,0.64,0.46,65,4,46,23,0.64
948809,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.84,0.38,0.65,0.50,64,5,43,26,0.65
948809,CSV,Netflix-conductor,implementation,LinearSVMModel,0.65,0.39,0.59,0.48,174,47,134,87,0.59
948809,CSV,Netflix-conductor,implementation,RandomForestModel,0.62,0.52,0.61,0.56,153,68,106,115,0.61
948809,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.62,0.54,0.60,0.57,147,74,102,119,0.60
948809,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.63,0.53,0.61,0.58,152,69,104,117,0.61
948809,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.70,0.32,0.59,0.43,189,32,151,70,0.59
948809,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.63,0.56,0.61,0.59,146,75,98,123,0.61
948809,CSV,Netflix-conductor,design,LinearSVMModel,0.65,0.41,0.59,0.50,99,29,75,53,0.59
948809,CSV,Netflix-conductor,design,RandomForestModel,0.65,0.56,0.62,0.60,88,40,56,72,0.62
948809,CSV,Netflix-conductor,design,DecisionTreeModel,0.54,0.45,0.53,0.49,79,49,70,58,0.54
948809,CSV,Netflix-conductor,design,LogisticRegressionModel,0.64,0.50,0.61,0.56,92,36,64,64,0.61
